x,y,time,keys,pressed,sofar
310,287,7980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8064,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8080,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8097,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8131,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8164,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8197,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8231,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8248,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8264,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8298,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8314,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8331,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8348,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8364,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8381,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8398,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8415,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8431,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8448,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8465,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8481,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8498,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8515,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8532,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8548,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8565,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8582,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8598,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8615,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8632,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8649,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8665,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8682,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8699,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8715,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8732,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8749,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8765,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8782,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8799,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8816,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8832,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8849,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8866,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,8882,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,8899,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,8916,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,8933,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,8949,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,8966,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,8999,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,9016,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,9033,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,9049,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,9066,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,9083,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,9100,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,9116,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,9133,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
