x,y,time,keys,pressed,sofar
310,287,12079,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12146,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12163,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12179,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12196,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12213,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12229,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12246,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12263,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12279,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12296,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12329,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12346,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12363,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12379,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12396,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12429,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12463,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12479,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12496,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12529,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12579,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12596,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,12613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
