x,y,time,keys,pressed,sofar
310,287,23776,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,23910,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,23943,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,23976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,23993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24026,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24043,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24093,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24126,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24143,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24176,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24193,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24226,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24243,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24276,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24326,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24360,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24376,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24410,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24460,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24476,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24510,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24560,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24576,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24610,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24626,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24660,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24676,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24710,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24726,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24760,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24776,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24810,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24843,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,24860,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,24893,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,24910,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,24943,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,24960,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
