x,y,time,keys,pressed,sofar
310,287,32107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32157,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32174,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32190,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32207,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32224,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32240,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32257,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32274,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32290,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32307,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32324,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32340,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32357,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32374,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32390,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32407,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32424,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32440,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32457,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32474,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32490,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32507,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32524,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32540,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32557,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32574,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32590,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32607,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32624,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32640,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32657,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32674,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32690,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32707,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32724,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32740,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32757,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32774,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,32790,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
