x,y,time,keys,pressed,sofar
310,287,21587,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21645,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21672,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21673,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21693,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21707,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21723,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21740,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21756,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21773,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21790,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21806,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21854,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21887,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21890,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21907,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21924,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21940,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21957,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21974,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,21991,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22008,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22024,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22040,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22058,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22074,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22091,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22124,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22141,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22157,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22174,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22191,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22207,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22224,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22240,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22257,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22274,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22291,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22307,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22324,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22342,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22358,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22375,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22392,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22409,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22425,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22441,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22459,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22474,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22492,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22508,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22525,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22555,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22589,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22621,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22655,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,22688,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,22737,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,22743,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,22788,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,287,22792,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,22838,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22842,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22891,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22892,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22938,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22943,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22988,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,22993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23038,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23044,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23060,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23094,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23110,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23126,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23144,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23160,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23177,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23194,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23210,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23227,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23244,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23260,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23277,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23311,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,23327,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,288,23343,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,289,23361,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,289,23378,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,290,23393,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,291,23411,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,292,23427,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,293,23444,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,294,23461,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,294,23477,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23512,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23527,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23544,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23561,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23578,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23594,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23611,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23629,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23644,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23661,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23678,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23695,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23712,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23729,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23745,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23762,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23778,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23811,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23829,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23845,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23862,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23879,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23896,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23913,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23928,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,295,23945,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,296,23963,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,297,23992,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,298,24026,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,299,24059,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,299,24092,d,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,300,24127,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,301,24158,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,301,24192,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,301,24225,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,301,24258,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,301,24293,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,301,24329,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24358,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24392,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24460,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24509,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24514,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24531,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24547,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24564,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,301,24580,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,301,24598,r,"[0, 0, 0, 0, 0, 0, 0, 0]",0
311,301,24613,ur,"[0, 0, 0, 0, 0, 0, 0, 0]",0
