x,y,time,keys,pressed,sofar
310,287,38003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38136,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38169,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38186,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38236,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38269,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38286,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38319,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38336,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38369,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38386,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38419,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38436,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38469,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38486,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38519,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38569,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38586,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38619,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38636,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38669,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38686,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38719,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38736,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38836,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38953,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39053,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39103,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39119,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39153,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39169,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39203,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39253,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39286,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39319,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39336,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39369,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39386,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39419,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39436,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39469,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39486,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39519,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39569,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39586,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
