x,y,time,keys,pressed,sofar
310,287,47498,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47598,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47660,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47681,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47698,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47748,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47789,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47818,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47831,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47898,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47931,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47989,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48017,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48056,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48115,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48153,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48215,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48258,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48323,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48348,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48381,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48414,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48487,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48515,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48553,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48582,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48615,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48647,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48681,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48720,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48747,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48814,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48847,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48887,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48897,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49689,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49714,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49751,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49814,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49848,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49884,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49914,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50051,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50180,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50280,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50347,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50363,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50418,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50484,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50547,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50587,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,50613,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,50639,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50682,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50714,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,50747,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,287,50780,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,286,50818,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,285,50846,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,285,50880,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,284,50919,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,283,50947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,50980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51046,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51084,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51113,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51152,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,282,51185,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,282,51214,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,282,51247,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,281,51280,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,280,51313,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,280,51347,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,279,51384,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,278,51396,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,278,51413,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,278,51429,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
302,278,51446,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,278,51463,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
300,278,51479,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
299,278,51496,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,278,51513,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,278,51529,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
297,278,51546,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
296,278,51563,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
295,278,51579,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,278,51601,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
293,278,51613,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
293,278,51629,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
292,278,51646,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
291,278,51663,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
290,278,51679,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
289,278,51696,l,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,278,51713,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,278,51729,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,277,51746,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,276,51763,ul,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,275,51779,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,275,51796,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,274,51813,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,273,51835,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,272,51846,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
288,271,51862,u,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,270,51879,u,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,270,51896,u,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,269,51912,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,51929,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,51946,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,51962,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,51979,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,51996,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52012,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52029,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52046,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52062,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52079,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52096,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52112,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52140,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52153,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52162,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52191,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52212,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52246,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52293,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52296,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52312,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52359,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52394,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52396,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52412,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52446,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52462,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52479,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52496,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52512,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52529,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52546,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52562,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52579,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52596,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52612,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52629,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52646,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52662,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52686,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52695,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52712,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52729,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52745,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52762,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52779,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52795,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52812,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52834,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52845,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52862,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52879,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52895,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52912,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52929,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52945,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52962,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52985,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,52995,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53012,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53029,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53045,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53073,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53079,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53095,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53112,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53129,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53145,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53162,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53179,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53195,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53212,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53229,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53245,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53262,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53278,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53295,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53312,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53328,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53345,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53362,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53378,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53412,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53428,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53445,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53462,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53478,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53495,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53512,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
288,268,53528,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
289,268,53545,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
290,268,53562,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
291,268,53578,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
292,268,53595,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,268,53612,r,"[1, 0, 0, 0, 0, 0, 0, 0]",1
293,268,53628,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
294,268,53645,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
294,268,53662,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
294,268,53678,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
294,268,53695,,"[1, 0, 0, 0, 0, 0, 0, 0]",1
