x,y,time,keys,pressed,sofar
310,287,36430,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36730,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36747,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36780,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36813,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36847,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36863,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36880,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36913,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36930,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36963,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36997,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37030,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37047,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37063,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37097,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37113,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37130,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37163,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37197,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37213,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37230,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37246,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37280,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37330,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37363,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37380,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37480,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37496,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37530,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37580,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37646,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37663,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37680,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37713,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37730,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37780,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37813,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37830,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37846,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37863,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37880,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37896,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37913,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37930,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37946,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37963,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,37980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38063,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38080,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38096,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38130,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38163,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38180,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38213,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38230,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38246,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38263,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38280,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38296,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38330,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38363,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38380,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38480,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38496,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38596,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38630,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38663,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38713,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38746,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38763,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38780,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38830,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38846,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38880,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38896,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38913,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38930,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38946,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38963,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,38996,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39013,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39046,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39080,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39146,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39196,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39230,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39263,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39280,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39296,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39330,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39346,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39380,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39396,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39413,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39430,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39463,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39480,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39496,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39530,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39580,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39596,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39630,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39646,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,39680,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
