x,y,time,keys,pressed,sofar
310,287,44628,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,44864,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,44959,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45051,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45144,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45233,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45328,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45420,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45510,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45600,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45700,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45795,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,45971,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46063,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46149,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46239,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46325,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46414,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46588,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46679,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46857,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,46944,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47031,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47123,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47210,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47297,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47385,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47474,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47565,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47652,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47738,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47828,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47915,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48090,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48176,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48267,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48352,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48448,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48622,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48708,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48796,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48883,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49054,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49141,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49228,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49313,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49400,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49486,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49572,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49663,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49753,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,49843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,49985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,50071,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,50159,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50266,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50359,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50552,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,50640,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,50760,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,50850,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,50937,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,287,51047,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,287,51134,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51222,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51307,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51395,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51481,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51567,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51655,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51742,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51827,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,51914,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52000,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52087,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52175,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52262,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52348,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52440,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52529,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,52617,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
