x,y,time,keys,pressed,sofar
310,287,29174,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29524,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29557,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29574,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29590,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29607,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29624,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29640,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29657,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29674,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29690,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29707,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29724,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29740,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29774,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29790,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29807,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29824,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29840,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29857,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29874,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29890,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29907,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29924,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29940,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29957,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29974,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,29990,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30007,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30024,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30040,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30057,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30074,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30090,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30124,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30157,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30207,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30224,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30240,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30257,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30274,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30290,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30307,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30324,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30340,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30374,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30390,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30407,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30424,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30440,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30457,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30474,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30490,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30507,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30524,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30540,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,30557,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
