x,y,time,keys,pressed,sofar
310,287,59537,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59620,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59637,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59654,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59670,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59687,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59704,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59720,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59737,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59754,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59770,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59787,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59804,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59820,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59837,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59854,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59870,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59887,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59904,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59920,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59937,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59954,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59970,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,59987,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60004,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60020,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60037,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60054,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60070,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60087,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60104,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60120,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60137,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60154,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60170,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60187,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60204,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60220,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60237,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60254,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60270,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60287,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60304,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60320,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60337,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60354,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60370,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60387,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60404,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60420,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60437,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60454,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60470,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60487,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60504,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60520,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60537,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60554,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60570,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60587,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60604,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60620,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60637,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60654,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60670,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60687,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60704,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60720,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60737,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60754,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60770,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60787,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60804,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60820,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60837,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60854,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60870,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60887,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60904,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60920,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60937,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60954,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60970,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,60987,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61004,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61020,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61037,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61054,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61070,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61087,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61104,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61120,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61137,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61154,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61170,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,61187,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
