x,y,time,keys,pressed,sofar
310,287,5501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5568,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5585,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5602,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5618,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5635,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5652,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5685,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5702,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5718,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5735,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5752,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5785,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5802,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5852,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5902,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5936,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5952,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,5986,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,6002,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,6019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,6036,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7757,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7773,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7790,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7807,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7823,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7840,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7857,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7874,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7890,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7907,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7924,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7940,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7957,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7974,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,7991,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8007,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8024,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8041,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8057,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8074,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8091,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8124,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8141,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8158,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,8174,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,8191,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,8208,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,8224,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,8241,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,8258,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,8275,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,8291,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,8308,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,8325,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,8341,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,8358,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,8375,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,8391,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,8408,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,8425,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,274,8442,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,273,8466,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,272,8482,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,271,8499,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,8516,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,8533,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,269,8549,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,8566,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,267,8583,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,266,8599,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,8616,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,8633,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,264,8649,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,263,8666,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,262,8683,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,261,8700,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,260,8716,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,260,8733,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,259,8750,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,258,8766,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,257,8783,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,256,8800,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,255,8817,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,255,8833,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
