x,y,time,keys,pressed,sofar
310,287,9297,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9498,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9514,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9531,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9548,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9564,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9581,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9598,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9615,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9631,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9648,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9665,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9681,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9698,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9715,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9732,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9748,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9765,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9782,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9798,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9815,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9832,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9848,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9865,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9882,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9899,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9915,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9932,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,9949,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
