x,y,time,keys,pressed,sofar
310,287,25825,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25889,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25899,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25915,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25925,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25941,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25958,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,25992,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26009,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26025,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26042,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26059,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26075,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26092,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26108,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26125,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26142,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26159,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26175,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26192,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26209,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26225,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26242,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26258,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26276,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26309,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26325,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26342,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26359,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26375,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26392,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26409,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26426,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26458,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26475,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26493,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26508,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26559,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26575,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26609,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26626,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26659,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26675,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26692,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26709,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26725,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26742,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26759,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26775,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26793,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26810,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26826,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26860,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26876,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,26892,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
