x,y,time,keys,pressed,sofar
310,287,27178,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27211,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27246,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27294,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27311,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27361,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27395,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27428,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27461,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27494,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27528,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27561,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27594,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27628,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27661,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27678,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27728,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27762,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27797,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27827,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27861,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27894,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27927,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27961,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,27994,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,28027,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,28061,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,28094,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,28128,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
