x,y,time,keys,pressed,sofar
310,287,47181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47497,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47514,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47864,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47897,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47914,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47931,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47964,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47981,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,47997,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48014,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48031,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48047,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48064,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48097,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48131,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48164,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48197,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48231,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48247,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48264,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48297,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48314,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48331,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48347,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48364,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48381,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48397,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48414,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48431,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48447,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48464,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48481,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48497,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48514,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48531,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,48547,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
