x,y,time,keys,pressed,sofar
310,287,19095,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19179,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19195,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19212,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19229,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19245,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19262,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19279,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19295,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19312,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19329,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19346,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19362,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19379,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19396,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19412,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19429,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19446,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19463,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19479,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19496,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19513,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19529,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19546,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19563,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19579,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19596,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19613,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19630,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19646,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19663,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19680,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19696,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19713,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19730,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19747,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19763,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19780,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19797,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19813,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19830,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19847,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19863,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19880,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19897,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19914,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19930,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19947,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19964,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19980,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,19997,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20014,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20031,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20047,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20064,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20081,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20097,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20114,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20131,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20147,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20164,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20181,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20198,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20214,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20231,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20248,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20264,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20281,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20298,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20315,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20331,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20348,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20365,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20381,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20398,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20415,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,20431,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22520,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22553,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22570,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22587,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22603,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22620,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22637,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22653,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22670,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22687,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22703,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22720,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22737,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22754,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22770,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,22787,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
