x,y,time,keys,pressed,sofar
310,287,16107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16240,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16274,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16290,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16307,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16324,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16340,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16357,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16407,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16424,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16440,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16457,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16474,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16490,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16507,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16524,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16540,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16557,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16574,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16590,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16607,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16624,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16640,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16674,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16690,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16707,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16724,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16740,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16757,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16773,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16790,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16807,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16823,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16840,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16857,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16873,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16890,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16907,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16923,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16940,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16957,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16973,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16990,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17007,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17023,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17040,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17057,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17073,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17090,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17107,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17123,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17140,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17157,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17173,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17190,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
