x,y,time,keys,pressed,sofar
310,287,364085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364151,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364168,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364185,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364201,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364218,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364235,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364268,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364285,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,364301,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,364318,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,364335,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,364351,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,364368,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,364385,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,364401,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,364418,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364435,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364468,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364485,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364518,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364535,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364551,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364568,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364585,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364601,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364618,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364635,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364651,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364685,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364701,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364718,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364735,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364751,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364768,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364785,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364801,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364818,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364851,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364868,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364901,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364918,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364935,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364951,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364968,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,364985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,365001,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,365018,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,365035,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,365051,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,365068,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,365085,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,365101,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,365118,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,365135,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,365151,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,365168,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,274,365185,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,273,365201,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,272,365218,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,271,365235,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,365251,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,270,365268,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,269,365285,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,268,365301,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,267,365318,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,266,365335,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,365351,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,265,365368,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,264,365385,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,263,365401,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,262,365418,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,261,365435,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,260,365451,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,260,365468,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,259,365485,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,258,365501,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,257,365518,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,256,365535,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,255,365568,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,255,365585,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,254,365601,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,253,365618,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,252,365635,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,251,365651,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,250,365668,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,250,365685,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,249,365701,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,248,365718,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,247,365735,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,246,365751,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,245,365768,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,245,365785,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,244,365801,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,243,365818,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,242,365835,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,241,365851,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,240,365868,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,240,365885,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,239,365901,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,238,365918,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,237,365935,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,236,365951,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,235,365968,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,234,365985,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,234,366001,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,233,366018,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,232,366035,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,231,366051,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,230,366068,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366101,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366118,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366135,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366151,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,229,366168,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,229,366185,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,229,366201,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,229,366218,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366235,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366268,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366285,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366301,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366318,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366335,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366351,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366368,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366385,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366401,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366418,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366435,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366468,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,229,366485,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
