x,y,time,keys,pressed,sofar
310,287,62501,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62801,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62851,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62868,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62901,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62918,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62935,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62951,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,62985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63001,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63018,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63035,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63051,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63068,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63101,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63118,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63135,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63151,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63168,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63185,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63201,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63218,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63235,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63251,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63268,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63285,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63301,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63318,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63401,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63418,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63435,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63451,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,63468,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
