x,y,time,keys,pressed,sofar
310,287,135952,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,136360,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
311,287,136394,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136530,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136560,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136575,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136596,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136638,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136657,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136668,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136685,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136702,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136823,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136840,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136852,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136868,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136902,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136918,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136935,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136952,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136968,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,136985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137020,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137041,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137052,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137068,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137102,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137118,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137135,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137168,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137185,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,137368,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
313,287,137447,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
314,287,137488,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
315,287,137509,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
316,287,137618,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
317,287,137675,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
317,287,137792,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
318,287,137951,R,"[0, 0, 0, 0, 0, 0, 0, 0]",0
319,287,138071,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138102,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138118,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138135,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138160,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138202,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
320,287,138324,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
319,287,138351,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
318,287,138607,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
317,287,138718,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
317,287,138885,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
316,287,139044,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
315,287,139143,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
314,287,139248,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
313,287,139287,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,139323,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
312,287,139361,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
311,287,139407,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,139423,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
309,287,139585,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,139741,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
308,287,139828,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
307,287,140000,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
306,287,140062,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
305,287,140089,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
304,287,140118,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,287,140224,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
303,287,140271,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
302,287,140321,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
301,287,140365,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
300,287,140382,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
299,287,140425,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,287,140460,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
298,287,140507,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
297,287,140580,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
296,287,140628,L,"[0, 0, 0, 0, 0, 0, 0, 0]",0
295,287,140643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,287,140693,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,287,140708,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,286,140735,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,285,140768,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,285,140801,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,284,140851,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,283,140918,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,282,140940,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,281,140951,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,280,140985,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,280,141032,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,279,141078,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,278,141331,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,277,141479,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,276,141561,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,275,141704,U,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,275,141828,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,141908,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,141977,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142001,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142030,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142046,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142091,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142109,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142118,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142142,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142240,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142257,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142268,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142291,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142309,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142318,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142335,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142351,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142368,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142385,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142410,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142430,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142449,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142467,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142488,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142535,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
294,274,142711,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
