x,y,time,keys,pressed,sofar
310,287,16519,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16620,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16636,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16653,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16669,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16686,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16703,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16719,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16736,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16753,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16803,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16819,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16836,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16853,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16869,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16886,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16903,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16919,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16936,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16953,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,16986,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17003,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17036,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17053,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17086,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17103,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17119,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17153,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17186,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17236,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17253,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17269,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17303,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17319,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17336,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17353,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17386,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17403,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17436,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17453,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17469,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17486,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17503,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17519,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17536,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17553,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17569,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17586,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17603,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17619,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17636,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17653,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17669,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17686,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17703,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17719,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17736,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17753,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17769,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17786,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17803,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17819,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,17836,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,286,17853,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,17869,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,285,17886,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,284,17903,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,283,17919,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,282,17936,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,281,17953,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,17969,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,280,17986,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,279,18003,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,278,18019,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,277,18036,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,276,18053,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,18069,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,275,18086,u,"[0, 0, 0, 0, 0, 0, 0, 0]",0
