x,y,time,keys,pressed,sofar
310,287,13293,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13443,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13459,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13476,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13493,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13509,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13526,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13543,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13559,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13576,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13593,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13609,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13626,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13643,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13659,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13676,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13693,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13709,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13726,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13743,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13759,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13776,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13793,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13809,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13826,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13843,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13859,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13876,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13893,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13909,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13926,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13943,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13959,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13976,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,13993,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14009,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14026,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14043,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14059,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14076,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14093,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14109,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,14126,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
