x,y,time,keys,pressed,sofar
310,287,35735,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35818,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35835,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35852,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35868,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35885,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35902,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35918,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35935,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35952,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35969,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,35985,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36002,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36019,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36035,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36052,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36069,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36085,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36102,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36119,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36135,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36152,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36169,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36185,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36202,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36219,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
310,287,36235,,"[0, 0, 0, 0, 0, 0, 0, 0]",0
